200.76.187.244 8081 6981
49.151.155.60 8080 4467
103.6.4.3 3128 4106
103.217.104.74 8080 8169
13.125.140.215 3128 3328
103.27.236.150 1997 4494
91.218.249.203 3128 3454
103.74.245.168 65301 7556
194.135.6.103 8888 3963
73.208.68.225 2196 9261
74.208.123.225 3128 5446
165.227.229.132 8118 3877
188.165.240.92 3128 6833
128.199.227.162 8080 9683
46.101.37.169 8118 5264
159.89.195.153 8118 6447
125.165.58.35 80 4875
177.128.158.232 53281 7931
151.80.140.233 54566 3965
116.58.233.134 42619 5610
13.73.25.58 80 9327
70.169.150.235 48678 8378
181.196.145.106 65103 6530
67.205.161.3 8080 3766
200.85.123.154 53281 2693
47.206.51.67 8080 3764
80.248.5.143 8080 9713
45.76.88.240 3128 4260
181.193.60.194 53281 6486
37.59.47.13 3128 4550
51.15.2.43 3128 3184
162.244.83.70 8080 3425
177.43.234.50 3128 4786
45.55.177.171 80 2812
118.171.184.146 3128 6023
46.101.90.10 8118 4378
205.158.57.2 53281 5701
115.146.126.223 8080 6702
116.58.226.19 80 4545
209.88.95.218 80 6494
35.193.132.89 3128 3263
181.196.150.166 62225 8053
189.204.116.221 65103 3732
5.197.231.174 8080 4252
190.248.136.229 53281 7808
180.246.158.154 8080 8630
201.222.55.34 62225 6400
203.142.70.26 8080 6664
200.216.227.141 53281 5561
34.227.18.42 3128 7085
200.85.183.99 53281 8332
160.16.205.220 8080 5318
185.203.243.25 8888 6598
35.227.65.114 8888 3412
5.189.135.164 3128 3950
67.52.76.210 48678 7349
51.15.137.244 3128 3136
