222G2PJWTMOVROYR2PYT33LTAM	BLANCO	3:1 448:1 463:7 465:1 619:1 1024:1 1526:1 1787:1 2431:3 2509:1 2748:2 
222OIUSFNXKLN4EAT5BEMY52UA	BLANCO	
222V3HBN4RM4PSPJHMVBSDCAX4	BLANCO	1885:1 2356:2 2478:1 
222ZTOHMLKYG7G42D6N6HEWHDI	BRASILEÑOS	
223SQNC7E242OON6BTKFUKC2TI	BLANCO	1112:2 1120:1 2674:1 
223WBY5AMVFFW2ST63776DAVAI	BLANCO	389:1 619:1 691:1 878:1 1132:1 1208:1 1885:2 2356:1 2432:1 2456:2 2571:1 3106:1 
225DJX6Z3SW7WYQHHR6GZYLWLY	BLANCO	
22743BP5PGMW35VYYULDKJGILQ	BLANCO	1208:1 1757:1 
22C5O2PTF5S4JL35ISQFME7ALY	AFROAMERICANO	239:2 878:1 1208:3 1328:2 1344:2 1598:2 2356:1 2456:2 2809:1 3182:1 
22EEUNZQYZY3OX5VTAMJDEGU4A	AFROAMERICANO	370:1 1719:1 
22EU3XUHOIYVI4WC4D5U3XQCOU	BLANCO	143:1 177:1 198:5 2122:3 2356:2 2390:1 2431:1 2456:1 
22O3BITQT5HDXCKFCLEJYSIJ2E	LATINO	2323:1 3182:2 
22PVQOO27DEBHSMR7G4UEJ2IO4	BLANCO	3:1 135:1 144:1 198:3 338:1 414:1 513:4 619:1 878:1 1472:1 1561:1 1562:1 1991:1 2074:1 2356:2 2390:1 2444:1 2456:2 2942:1 2979:2 3182:2 
22RCEKA2VRTYGFDKDG64O5WVWQ	ARÁBICOS	177:1 770:2 1279:1 1526:1 2444:1 2594:3 2998:1 
22WNEJLVX6PFWVDXKZ74AKVA4Y	ARÁBICOS	2431:1 2897:1 
22XGXU5ZBKUDVCLLZGGSWDRKY4	BLANCO	135:1 878:4 1208:2 1332:1 1472:1 2356:5 2390:4 2431:1 2434:1 2456:1 2478:1 2942:1 
237ILP25JYQRJDNBPS5OCJDARM	ASIÁTICOS	3:2 2356:1 2456:1 2594:1 2854:1 
23IVWKJBX5AAWJ46SBAFKXM74M	BLANCO	3:3 135:1 198:1 389:1 619:3 878:1 1208:4 1266:2 1344:3 1603:1 2033:1 2034:1 2356:2 2390:1 2431:1 2444:2 2456:1 2481:1 2567:1 2594:1 2642:1 2693:1 2697:1 2942:1 2998:1 3100:1 
23PSQV4RDXPF3KDCXA4NZREH5M	BLANCO	177:2 239:1 352:1 878:1 1021:2 1344:13 1375:1 2356:3 2390:1 2444:1 2456:2 2481:1 2783:3 2998:1 3182:1 
23UCEJJNSFECD5RUIYSTQUFMWU	BLANCO	198:10 377:1 878:2 963:1 964:1 2356:2 2390:1 2431:1 2444:1 2456:1 2478:1 2583:2 2629:1 2752:2 2998:1 3182:5 
243CJQLOJP6Z6M6UKYXIUY2SIQ	BLANCO	
243SABQBHAYZVG422IS74RSAA4	BLANCO	3:1 135:1 463:1 
24DBW2IXGOCMC2DAS7LTLZIY34	BLANCO	85:1 143:1 198:1 409:1 552:5 556:2 721:1 770:1 1208:1 1392:5 2359:1 2444:1 2683:1 2723:1 2968:1 2998:2 
24J4S6ZKOBNVCO6SGSYNYYB3AM	AFROAMERICANO	1697:1 2432:1 2444:1 3194:2 
24JB23GSSY6B42PIEFHP62CFJE	AFROAMERICANO	930:2 1392:1 1804:1 2356:1 2571:1 2642:1 
24MZIL6LE6T3GC2CAG2YJKXHKE	BLANCO	1562:1 
24N7NHH7T7NHZ2IPF3R2OR54BQ	BLANCO	3:9 128:1 134:1 144:3 148:1 172:1 177:2 198:2 430:1 431:1 463:2 491:2 746:2 770:16 774:1 775:1 776:2 1048:4 1263:2 1266:2 1303:6 1472:2 1548:1 1596:1 1627:2 1725:7 1726:1 1731:4 1757:14 1763:1 1784:8 2034:2 2042:2 2122:8 2185:1 2225:6 2226:6 2244:3 2246:1 2344:2 2431:4 2594:6 2608:1 2640:2 2672:7 2673:1 2792:2 2813:2 2822:2 2875:1 2876:1 2897:2 3009:2 3033:1 3042:2 3063:2 
24PHJDHNBBLPA435IUVQDGV2PY	BLANCO	
24SL3XKFMK2IQY4E7CTCLJU4LA	BLANCO	44:1 1674:1 1697:1 2122:1 2356:1 2390:3 2444:1 2456:1 2653:1 2752:1 3064:1 3154:1 3188:1 
24TOJ3XENYCRXHYDR6RY42HKOU	ASIÁTICOS	1561:1 2356:1 2942:1 2998:1 
24VBP2ULAUIWVFOE45ERXP52FU	BLANCO	619:1 1208:1 2122:1 
25DEMVKI2CDQIAPXOXI6Y52EQY	BLANCO	3:2 177:1 198:1 463:1 878:1 1193:1 1208:3 1472:2 1991:2 2325:1 2356:4 2390:2 2431:6 2432:2 2434:3 2456:9 2481:1 2567:1 2571:2 2690:1 2897:1 2998:3 3125:3 
25DJYOTX2AEV5YACHXWGQ4ME74	BLANCO	2356:1 2444:2 2456:1 2723:1 2998:1 
25I6VK5T3MW7NIUOHRSW7QHRVQ	ARÁBICOS	463:1 657:1 1392:2 1393:1 1822:1 2431:1 
25M5K7KDJRZCVS5WT6ACHK42AY	AFROAMERICANO	135:1 2431:2 2444:1 
25NK7F4VTNXDHTHFYH2656XJSY	BLANCO	239:1 
25P5R63DTE56JEKJINRMGPLHAI	BLANCO	177:1 198:2 202:1 513:1 1561:1 2390:2 2431:2 2481:1 2567:1 2571:3 2998:1 3009:1 3023:1 
25VPOOA2OOSPQSLM3U6ZPQRQP4	AFROAMERICANO	3:1 1303:1 3064:1 
