17:0.851	CRISIS	4.5777638421044944E-5	PRELUDIO	0.9972818078425096	PRECRISIS	0.0026724145190691433
25:1.225	CRISIS	0.006195400904223198	PRELUDIO	0.5708530079886825	PRECRISIS	0.42295159110709424
582:0.811	CRISIS	0.039325133004970585	PRELUDIO	0.12233773947919953	PRECRISIS	0.83833712751583
77:0.577	CRISIS	0.19927866715020934	PRELUDIO	0.8007090845919891	PRECRISIS	1.2248257801652229E-5
17:0.851	CRISIS	0.020475761001607008	PRELUDIO	0.9517794138324276	PRECRISIS	0.02774482516596558
17:0.851	CRISIS	4.453504296496121E-5	PRELUDIO	0.9976070412749185	PRECRISIS	0.002348423682116586
518:0.841	CRISIS	0.6439815873335208	PRELUDIO	0.08773175621737744	PRECRISIS	0.26828665644910166
77:0.577	CRISIS	0.6641255754009879	PRELUDIO	0.23404017211619244	PRECRISIS	0.10183425248281966
77:0.577	CRISIS	6.918734467092801E-4	PRELUDIO	0.9989273732465942	PRECRISIS	3.8075330669659987E-4
380:1.333	CRISIS	0.2566024352845422	PRELUDIO	0.6649769250350236	PRECRISIS	0.07842063968043415
77:0.577	CRISIS	0.04398512748993205	PRELUDIO	0.08795220327101619	PRECRISIS	0.8680626692390516
17:0.851	CRISIS	0.3983608164015285	PRELUDIO	0.5727310613040738	PRECRISIS	0.02890812229439771
77:0.577	CRISIS	8.14365033373605E-4	PRELUDIO	0.9991477804736579	PRECRISIS	3.7854492968324E-5
17:0.851	CRISIS	4.5777638421044944E-5	PRELUDIO	0.9972818078425096	PRECRISIS	0.0026724145190691433
216:1.458	CRISIS	0.005679071351968194	PRELUDIO	5.141237432956519E-8	PRECRISIS	0.9943208772356574
77:0.728	CRISIS	5.287502532691125E-4	PRELUDIO	0.9976335055165804	PRECRISIS	0.0018377442301505285
242:2.0	CRISIS	0.015616092382322712	PRELUDIO	0.8211943815016788	PRECRISIS	0.1631895261159986
159:2.0	CRISIS	0.007820974181468064	PRELUDIO	0.8346160458398675	PRECRISIS	0.15756297997866445
518:1.183	CRISIS	0.4225078279064242	PRELUDIO	0.5311224887880355	PRECRISIS	0.0463696833055403
518:1.183	CRISIS	0.4225078279064242	PRELUDIO	0.5311224887880355	PRECRISIS	0.0463696833055403
25:2.0	CRISIS	0.12174054058841847	PRELUDIO	0.864664923087804	PRECRISIS	0.013594536323777618
17:1.229	CRISIS	0.01934434872737613	PRELUDIO	3.203506093498073E-4	PRECRISIS	0.980335300663274
148:2.0	CRISIS	0.007225178897617231	PRELUDIO	9.682556541693384E-7	PRECRISIS	0.9927738528467286
77:0.728	CRISIS	0.5838122222973	PRELUDIO	0.060703449484111424	PRECRISIS	0.3554843282185885
242:2.0	CRISIS	0.015616092382322712	PRELUDIO	0.8211943815016788	PRECRISIS	0.1631895261159986
51:2.0	CRISIS	0.05322792026882097	PRELUDIO	6.560471587880056E-7	PRECRISIS	0.9467714236840203
588:1.458	CRISIS	4.73166799331773E-6	PRELUDIO	0.0021891161548754736	PRECRISIS	0.9978061521771312
17:1.229	CRISIS	0.5621842255541533	PRELUDIO	0.3358494961401579	PRECRISIS	0.10196627830568877
77:0.728	CRISIS	0.5838122222973	PRELUDIO	0.060703449484111424	PRECRISIS	0.3554843282185885
163:2.0	CRISIS	3.226232537712293E-5	PRELUDIO	3.380472488212336E-5	PRECRISIS	0.9999339329497406
17:1.229	CRISIS	0.0017156273179897712	PRELUDIO	0.9982839542929762	PRECRISIS	4.1838903405912615E-7
239:2.0	CRISIS	7.829151068552967E-4	PRELUDIO	0.9804392352496122	PRECRISIS	0.01877784964353229
239:2.0	CRISIS	7.829151068552967E-4	PRELUDIO	0.9804392352496122	PRECRISIS	0.01877784964353229
17:1.616	CRISIS	1.701448664037007E-7	PRELUDIO	0.9873798890182884	PRECRISIS	0.012619940836845223
593:2.0	CRISIS	0.33835505276366157	PRELUDIO	0.6401776979843813	PRECRISIS	0.021467249251957123
17:1.616	CRISIS	1.701448664037007E-7	PRELUDIO	0.9873798890182884	PRECRISIS	0.012619940836845223
216:2.0	CRISIS	3.8533023436787753E-5	PRELUDIO	2.4785440331617006E-12	PRECRISIS	0.9999614669740846
17:1.616	CRISIS	1.5385422056617162E-7	PRELUDIO	0.9999803041061566	PRECRISIS	1.954203962292943E-5
77:0.935	CRISIS	1.0035946824196498E-7	PRELUDIO	0.9131005076129747	PRECRISIS	0.08689939202755717
518:1.333	CRISIS	0.3314534993418551	PRELUDIO	4.925453775212432E-9	PRECRISIS	0.6685464957326912
17:1.616	CRISIS	1.701448664037007E-7	PRELUDIO	0.9873798890182884	PRECRISIS	0.012619940836845223
17:1.616	CRISIS	1.3305246365385566E-4	PRELUDIO	3.010732729254454E-6	PRECRISIS	0.9998639368036168
108:2.0	CRISIS	1.2131556848580388E-4	PRELUDIO	1.1909491092761457E-12	PRECRISIS	0.9998786844303234
108:2.0	CRISIS	0.1689399436781144	PRELUDIO	1.5424233285705848E-9	PRECRISIS	0.8310600547794623
582:1.617	CRISIS	0.6766935439320368	PRELUDIO	0.13871225093248912	PRECRISIS	0.18459420513547392
17:1.616	CRISIS	0.7630104677736239	PRELUDIO	1.246612077354354E-8	PRECRISIS	0.23698951976025534
518:1.333	CRISIS	0.05189204648855841	PRELUDIO	2.0726098292375952E-5	PRECRISIS	0.9480872274131492
17:1.616	CRISIS	1.67316385732629E-8	PRELUDIO	3.4106409805530466E-11	PRECRISIS	0.9999999832342551
17:1.616	CRISIS	0.003845549283621944	PRELUDIO	0.9958335534152681	PRECRISIS	3.208973011099355E-4
